# Objective (MW), T_1_x (m), T_1_y (m), T_2_x (m), T_2_y (m), T_3_x (m), T_3_y (m), T_4_x (m), T_4_y (m), T_5_x (m), T_5_y (m), T_6_x (m), T_6_y (m), T_7_x (m), T_7_y (m)
1.405679102067850295e+01,-1.044348884999999996e+02,2.363823089999999922e+02,-6.300000000000000000e+02,4.391511884999999893e+02,-1.215585796999999957e+02,-4.810626458000000127e+01,-6.300000000000000000e+02,-6.300000000000000000e+02,3.942958027000000243e+01,-2.428253522999999916e+02,-9.348110676000000296e+01,6.012307935999999700e+02,9.918891571000000340e+01,8.664797158000000366e+01
-1.399589386350139364e+01,-5.982019244777719535e+01,2.570305437834596205e+02,-6.300000000000000000e+02,4.372538656155847434e+02,-1.473740596236442002e+02,-5.912628854986105154e+01,-6.300000000000000000e+02,-6.298110004476280892e+02,3.166444938995637415e+01,-2.510185961815693645e+02,-1.277029264602335843e+02,6.099262254849670626e+02,1.224355555706589485e+02,7.950343524479572466e+01
-1.375117455214288320e+01,-8.303878739851657542e+01,2.692980703125054447e+02,-6.300000000000000000e+02,4.356171169990113867e+02,-1.817988004371084685e+02,-6.980905384956233206e+01,-6.300000000000000000e+02,-6.296161144300727983e+02,4.829001873155768010e+00,-2.589137218756760603e+02,-1.217997323621103760e+02,6.171694615609814036e+02,8.918983945727372031e+01,8.048403390032333959e+01
-1.417321903386867987e+01,-9.728364258567754064e+01,2.628891119334031714e+02,-6.300000000000000000e+02,4.353954258414548235e+02,-1.539319032565561542e+02,-6.583293657555338996e+01,-6.300000000000000000e+02,-6.295403568190350825e+02,-7.685194712454297417e-01,-2.668248801004991719e+02,-9.978202810814299539e+01,6.188801975844287426e+02,1.113539889779308680e+02,9.312765677056130187e+01
-1.411709012305043487e+01,-9.998435338838955033e+01,2.771816632922431154e+02,-6.299999999999997726e+02,4.321555311829636707e+02,-1.242995318318185980e+02,-6.792318788406301167e+01,-6.299999999999997726e+02,-6.292781639934925124e+02,-6.269513385789188931e+00,-2.977359555381667633e+02,-8.366417063307140722e+01,6.299999999999996589e+02,8.739652951222947763e+01,1.082842161750097603e+02
-1.526995940331711488e+01,-1.089399302666742670e+02,2.595014146151757473e+02,-6.300000000000000000e+02,4.338979629706411174e+02,-1.377858188915425899e+02,-6.234982167715378409e+01,-6.300000000000000000e+02,-6.296349836322123110e+02,2.732999795113488872e+01,-2.751768924875086668e+02,-1.015249426315856738e+02,6.192540503730157297e+02,1.000549760334792637e+02,1.032230547731736010e+02
-1.266621201712037426e+01,-1.912658138539516415e+02,2.227053359181173278e+02,-6.300000000000000000e+02,4.238471221046775099e+02,-1.628819349760029240e+02,-5.588788009737781692e+01,-6.300000000000000000e+02,-6.300000000000000000e+02,2.361695918617014343e+02,-2.944138937508224103e+02,-9.780455435179599988e+01,6.173255357840752140e+02,1.261190403539758904e+02,1.621557395738385878e+02
-1.602463402880191978e+01,-1.004012431011087045e+02,2.570473665665790577e+02,-6.300000000000000000e+02,4.336504659458382207e+02,-1.376804925536973201e+02,-6.147579162368540295e+01,-6.300000000000000000e+02,-6.296744878156474670e+02,1.904432293525594844e+01,-2.719660716637027349e+02,-9.767755378896067953e+01,6.173040737485655427e+02,9.984286779026253100e+01,1.020082072183518846e+02
-1.604464658147424316e+01,-9.929791419696400112e+01,2.579530069943439798e+02,-6.300000000000000000e+02,4.313717549005853584e+02,-1.374681613441963179e+02,-6.090586746943647256e+01,-6.300000000000000000e+02,-6.297910744350056120e+02,1.971106090284189705e+01,-2.710167319221088746e+02,-9.837192820503061341e+01,6.163232015802808519e+02,1.001234596485884083e+02,1.007961396926611570e+02
-1.607516705702842330e+01,-9.725015302545376983e+01,2.595487541776417970e+02,-6.300000000000000000e+02,4.231530913029404246e+02,-1.376856831409128290e+02,-6.045659960106949882e+01,-6.300000000000000000e+02,-6.300000000000000000e+02,2.083578576791847681e+01,-2.696875454640016301e+02,-9.778850561270047592e+01,6.146928250144803769e+02,1.001878075953573131e+02,1.002619807042429727e+02
-1.603395229770179498e+01,-9.471212856428665816e+01,2.609829181286673929e+02,-6.300000000000000000e+02,4.051913885150919441e+02,-1.374274556246110990e+02,-6.041130685263493660e+01,-6.300000000000000000e+02,-6.300000000000000000e+02,2.223872882018859798e+01,-2.678804336523834877e+02,-9.769422184866027692e+01,6.120010278635003260e+02,9.989376275835790864e+01,9.926696219987465497e+01
-1.610327527017266647e+01,-9.677861295610190950e+01,2.597079632433837446e+02,-6.300000000000000000e+02,4.132640224953007078e+02,-1.374553460736718193e+02,-6.094632625501280643e+01,-6.300000000000000000e+02,-6.299627798128269660e+02,2.115175180528154542e+01,-2.693565957811734961e+02,-9.763241275311266065e+01,6.135590432400642840e+02,9.967474609287502574e+01,1.000103402162039998e+02
-1.611706974707441020e+01,-9.808131688953568528e+01,2.586483827738783816e+02,-6.300000000000000000e+02,4.114129243555156563e+02,-1.372591648012264329e+02,-6.161613377282520787e+01,-6.300000000000000000e+02,-6.300000000000000000e+02,2.042701985125031428e+01,-2.699271302259227809e+02,-9.760013583659011260e+01,6.134324969414004727e+02,9.915682062415588405e+01,1.003487004427623361e+02
-1.611839218719423172e+01,-9.835582023286015385e+01,2.585223257910728307e+02,-6.300000000000000000e+02,4.112964657751408595e+02,-1.373231498423945709e+02,-6.145725303418853969e+01,-6.300000000000000000e+02,-6.300000000000000000e+02,2.023255527503946638e+01,-2.695263598784319470e+02,-9.765600992739175013e+01,6.130559042953146900e+02,9.927947599147367441e+01,1.004301363779648142e+02
-1.611971992102988693e+01,-9.855216576399602957e+01,2.584708479731001489e+02,-6.300000000000000000e+02,4.110722257959402555e+02,-1.374774406451813604e+02,-6.124490564742492182e+01,-6.300000000000000000e+02,-6.300000000000000000e+02,2.004714582852064808e+01,-2.680434308492115747e+02,-9.779090021765773599e+01,6.124999630373039281e+02,9.957069372559143972e+01,1.005417786793714896e+02
-1.612083264403401373e+01,-9.880005676564940131e+01,2.583733464720183974e+02,-6.300000000000000000e+02,4.106927297289560670e+02,-1.377999634821885024e+02,-6.097761687173441914e+01,-6.300000000000000000e+02,-6.300000000000000000e+02,1.973671082689761036e+01,-2.635390358210694330e+02,-9.805502998784106694e+01,6.116179022941944368e+02,1.001438799757863620e+02,1.007296096755446655e+02
-1.612210044362820582e+01,-9.863402424088145892e+01,2.585422036611818157e+02,-6.300000000000000000e+02,4.109340228229811487e+02,-1.376641077016534211e+02,-6.119473075859933431e+01,-6.300000000000000000e+02,-6.300000000000000000e+02,1.989993457731565840e+01,-2.646505807539211901e+02,-9.789418725983294678e+01,6.122084240747941521e+02,9.989617661310846586e+01,1.006837743464280521e+02
-1.612352790079945208e+01,-9.848806265035415208e+01,2.586589171998797383e+02,-6.300000000000000000e+02,4.111016675776696161e+02,-1.375895975417034265e+02,-6.143984177644313860e+01,-6.300000000000000000e+02,-6.300000000000000000e+02,2.000017737548840202e+01,-2.633758008075757857e+02,-9.779394230668980015e+01,6.127060468820715187e+02,9.975577866337511068e+01,1.006492104195220065e+02
-1.612387404404294244e+01,-9.843376352868027368e+01,2.586224859536951044e+02,-6.300000000000000000e+02,4.111766868569516191e+02,-1.375299057284288438e+02,-6.159049939334811796e+01,-6.300000000000000000e+02,-6.300000000000000000e+02,2.004551576018321768e+01,-2.618792978922613770e+02,-9.774625948996023794e+01,6.129227776568279751e+02,9.962348382808139036e+01,1.005792725858664767e+02
-1.612391215494267271e+01,-9.845320663388662297e+01,2.586112656892439077e+02,-6.300000000000000000e+02,4.111828633603882395e+02,-1.375177842756605457e+02,-6.156629125185060758e+01,-6.300000000000000000e+02,-6.300000000000000000e+02,2.005000110882079767e+01,-2.622932528906146104e+02,-9.773881371692731079e+01,6.128703354455287808e+02,9.959821869413588047e+01,1.005725823782221795e+02
-1.612391425463344774e+01,-9.846347569782604126e+01,2.586159831865730894e+02,-6.300000000000000000e+02,4.111863894480350154e+02,-1.375174738478553422e+02,-6.156342728024448974e+01,-6.300000000000000000e+02,-6.300000000000000000e+02,2.004963178824148429e+01,-2.622602939316508355e+02,-9.773367649770521837e+01,6.128409679680436284e+02,9.959245353480307017e+01,1.005767524824445047e+02
-1.612391458468610139e+01,-9.846817236915650540e+01,2.586165191262122107e+02,-6.300000000000000000e+02,4.111875603227794613e+02,-1.375149038436972830e+02,-6.156166290262256524e+01,-6.300000000000000000e+02,-6.300000000000000000e+02,2.005176930244085298e+01,-2.622468215804800593e+02,-9.773322117610963744e+01,6.128206248667169120e+02,9.958878390966602012e+01,1.005754714418013407e+02
-1.612391458894571628e+01,-9.846821413777065857e+01,2.586173553799889646e+02,-6.300000000000000000e+02,4.111879625974772239e+02,-1.375152521170762441e+02,-6.156168991943960833e+01,-6.300000000000000000e+02,-6.300000000000000000e+02,2.005232496270849296e+01,-2.622476731098607274e+02,-9.773274025888018457e+01,6.128198806360618391e+02,9.958909896541958062e+01,1.005756621491773757e+02
-1.612391458894571628e+01,-9.846821413777065857e+01,2.586173553799889646e+02,-6.300000000000000000e+02,4.111879625974772239e+02,-1.375152521170762441e+02,-6.156168991943960833e+01,-6.300000000000000000e+02,-6.300000000000000000e+02,2.005232496270849296e+01,-2.622476731098607274e+02,-9.773274025888018457e+01,6.128198806360618391e+02,9.958909896541958062e+01,1.005756621491773757e+02
-1.612391458894571628e+01,-9.846821413777065857e+01,2.586173553799889646e+02,-6.300000000000000000e+02,4.111879625974772239e+02,-1.375152521170762441e+02,-6.156168991943960833e+01,-6.300000000000000000e+02,-6.300000000000000000e+02,2.005232496270849296e+01,-2.622476731098607274e+02,-9.773274025888018457e+01,6.128198806360618391e+02,9.958909896541958062e+01,1.005756621491773757e+02
