# Objective (MW), T_1_x (m), T_1_y (m), T_2_x (m), T_2_y (m), T_3_x (m), T_3_y (m), T_4_x (m), T_4_y (m), T_5_x (m), T_5_y (m), T_6_x (m), T_6_y (m), T_7_x (m), T_7_y (m)
1.139307308435004096e+01,-2.228762652130077981e+02,1.384631529712194151e+02,-2.179795421729089355e+01,-1.863530892254110540e+02,2.177418232204474862e+02,9.611060168869679288e+00,-5.704161737019477414e+02,-1.093695054329343606e+02,-5.199673470881029971e+02,4.106163966816756101e+02,1.809190055469806282e+02,5.262659785014357112e+02,6.222263080346313018e+02,3.860272814963299766e+02
-1.186882099982549832e+01,-1.437417362336782958e+02,1.458612283126027478e+02,-9.449008915138088938e+00,-1.924826423780505422e+02,2.179246124049919899e+02,9.121207945233129166e+00,-5.673468191976569415e+02,-1.040658598937593382e+02,-5.340274810017663185e+02,4.065815832669788961e+02,1.709008098613127231e+02,5.417288062403390541e+02,6.170545720122804596e+02,3.760612816400315523e+02
-1.188983606674186255e+01,-1.405183515043572697e+02,1.573197592821428827e+02,-4.600372968794920325e+01,-1.993686539035168721e+02,2.177297363159939323e+02,5.099178541152896038e+00,-5.651950810891497667e+02,-9.530458246959226187e+01,-5.473362958671308434e+02,4.036452246858304420e+02,1.831592135726167214e+02,5.553159965958931252e+02,5.939233523133816561e+02,3.659359512872708251e+02
-1.269544898890092277e+01,-1.786689690199791301e+02,1.571204594269604513e+02,-1.932637984886931903e+01,-2.015845393547251660e+02,2.180939665468338831e+02,6.518922442293209940e+00,-5.641629224490383194e+02,-9.459204711832867929e+01,-5.372898715091348549e+02,4.038011069124494270e+02,1.797565847493802380e+02,5.565167574437909934e+02,5.954905951388662970e+02,3.647425999393657889e+02
-1.320360494024842346e+01,-1.814563307353461710e+02,1.872083141783633664e+02,-2.253098717647330318e+01,-2.367814824840318124e+02,2.185336673235489116e+02,5.121482693746378878e+00,-5.728047857316574891e+02,-6.937468551938607675e+01,-5.146201492112325013e+02,3.959735749277800778e+02,1.788399075775609504e+02,6.043389363852510314e+02,5.606423875483884558e+02,3.351350733572942318e+02
-1.344700460825396071e+01,-1.740356713936404844e+02,1.828415989421648646e+02,-1.143752462368599154e+01,-2.415086756379916153e+02,2.165854165459381022e+02,1.229459453365072719e+01,-5.710253337623734069e+02,-7.188049504393038092e+01,-5.226315747407830941e+02,3.998017954109365064e+02,1.794191009435112392e+02,6.057307185630124877e+02,5.696499045431550030e+02,3.351512475068026902e+02
-1.317928529201052967e+01,-1.744657138607313414e+02,1.613225702849161962e+02,-1.861558979712382467e+01,-2.457093914626812818e+02,2.170283106571245071e+02,3.288947165558356289e+01,-5.672694306081400555e+02,-8.675273726935142804e+01,-5.508464601207479063e+02,4.129698402228353871e+02,1.680696792998653279e+02,5.962137055501221994e+02,6.082282093007271442e+02,3.433451623719770964e+02
-1.388315915201628492e+01,-1.772343140230051404e+02,1.794986078141817529e+02,-2.264328159130476337e+01,-2.613254210984431438e+02,2.189389625623193751e+02,2.810016506078477860e+01,-5.670779763584720286e+02,-7.591978042492864631e+01,-5.297412204804695648e+02,4.101754570503541117e+02,1.845198579412447373e+02,6.194560290066608559e+02,5.801507606981022036e+02,3.274575210369955016e+02
-1.320384969565863109e+01,-1.803761829634396179e+02,1.906187377061627615e+02,-2.526871739490351843e+01,-2.757535924164658923e+02,2.177838541322723813e+02,2.676319154863435656e+01,-5.749031917914912810e+02,-7.158364760734799859e+01,-5.240887385821004045e+02,4.145186018453815109e+02,1.683045242383001892e+02,6.299999999999989768e+02,5.505061516032276359e+02,3.161705638576831916e+02
-1.422514217342626708e+01,-1.787405712745016331e+02,1.797291473416744338e+02,-1.748867824780762703e+01,-2.598085464186453919e+02,2.174320698753983834e+02,2.257625481317763416e+01,-5.767761538112519020e+02,-7.957742475345237665e+01,-5.335484730806982725e+02,4.170209938288948592e+02,1.779540377235520054e+02,6.128017747992270188e+02,5.733767673375543836e+02,3.302130521613113388e+02
-1.402574245583478429e+01,-1.771414756889879811e+02,1.747881778721234411e+02,-1.574371712305865323e+01,-2.535146795074626596e+02,2.173704785381848694e+02,1.896388326163875959e+01,-5.621970512179323123e+02,-8.572764701418904565e+01,-5.316162087519735451e+02,4.216788287417591050e+02,1.741838264140946251e+02,6.046016467396517555e+02,5.758569252580484772e+02,3.369139801538887014e+02
-1.432396221307957518e+01,-1.773713286267631304e+02,1.786425305548988263e+02,-1.866065176353596300e+01,-2.634367400084825022e+02,2.184621713538309677e+02,2.315837549857918631e+01,-5.693781027979842975e+02,-8.349987181084172505e+01,-5.314610823756650007e+02,4.203787184569820283e+02,1.790221394534681849e+02,6.175155613681059776e+02,5.679572823508680131e+02,3.298324089665035785e+02
-1.436368736077474573e+01,-1.777544353756212274e+02,1.778433015222801998e+02,-1.996728564401195172e+01,-2.604467913911158234e+02,2.164978033136558508e+02,2.114828709534297602e+01,-5.703859058566412159e+02,-8.771643706747207148e+01,-5.298198565325265008e+02,4.210435513688721585e+02,1.782516396915551695e+02,6.150225583736038288e+02,5.718425712767561890e+02,3.316532133697417635e+02
-1.432727640752633391e+01,-1.777449825489129864e+02,1.781150434686787207e+02,-1.917832733961001779e+01,-2.604918813655195891e+02,2.211983647806838178e+02,1.914371700122259767e+01,-5.708153417314141507e+02,-9.206632799036509596e+01,-5.306437557588506024e+02,4.221926996544610233e+02,1.772181220171895575e+02,6.137045375943246199e+02,5.736871931436564864e+02,3.329783925206284039e+02
-1.438474965393780813e+01,-1.776872500918985622e+02,1.787421185486325896e+02,-1.865011639731863724e+01,-2.633103030810101473e+02,2.175950575359556751e+02,1.911622216500438043e+01,-5.701745671003768621e+02,-9.346377808187698122e+01,-5.317516329580156480e+02,4.228944067954830643e+02,1.776703897186219763e+02,6.154235331500493658e+02,5.722853119597789373e+02,3.324630907207205723e+02
-1.438777337215388030e+01,-1.776850368431738048e+02,1.779304057571137321e+02,-1.900451639045374108e+01,-2.633284198841784587e+02,2.177997936360642939e+02,1.875785389392568803e+01,-5.702857800581932679e+02,-9.541715078900953984e+01,-5.310347999499546177e+02,4.233264948532769836e+02,1.780234962913748973e+02,6.153477889525626097e+02,5.717176620061233052e+02,3.329028896642029736e+02
-1.438835288498965070e+01,-1.776819522181929187e+02,1.782441780680760246e+02,-1.920238849204941900e+01,-2.642937945805197160e+02,2.177823788484644751e+02,1.886839738035628145e+01,-5.703227484151518638e+02,-9.469828461045601387e+01,-5.308974236387676910e+02,4.232324715522277074e+02,1.780227282172101582e+02,6.164111630807547044e+02,5.717424627268696895e+02,3.323058233503168708e+02
-1.438852116291698735e+01,-1.776797034147224110e+02,1.781251414562532602e+02,-1.911088513609910322e+01,-2.643715209056062463e+02,2.177193020531276488e+02,1.872136865718748311e+01,-5.704062475445050495e+02,-9.491036840193865487e+01,-5.309789993231452172e+02,4.233497799645539885e+02,1.780126527442120334e+02,6.162058437160783342e+02,5.717053389238941463e+02,3.325229527565177818e+02
